Name,Deals,Year_Of_Potential_Sponsor,Top Market_1,TopMarket1%,TopMarket2,TopMarket2%,TopMarket3,TopMarket3%,TopL&P1,TopL&P1%,TopL&P2,TopL&P2%,TotalLikes,Followers Engaged%,Posts,Industry1,Industry2,Sponsor%,Digital%,TV%,Other%,Target Market,Radio%,Big Sponsor
The Patriot Point,1,2019-2020,Baltimore,100,nan,nan,nan,nan,DIV 1 Bowls,100,nan,nan,0,0,2,Leisure,General,33,33,33,0,Baltimore,0,yes
Coca-Cola Consolidated,37,2019-2020,Charlotte,30,Nashville,14,Washington DC ,8,nba,24,nhl,20,187301,0.21,144,Food & Bev,Other,31,43,3,15,Charlotte,3,yes
Capital One,567,2019-2020,usa,24,International,4,Los Angeles,4,DIV 1 Bowls,13,nba,5,4483863,0.33,3196,Financial,banking,14,48,17,5,International,16,Yes
Mercedes-Benz,317,2019-2020,usa,18,International,6,New York,4,nfl,12,ATP Tour,6,5432000,0.74,1000,Auto,Car Manufacturers,19,38,19,17,International,5,yes
NextGen Federal Systems,1,2019-2020,Baltimore,100,nan,nan,nan,nan,DIV 1 Bowls,100,nan,nan,33,0.21,2,Technology,IT,33,33,0,33,usa,0,yes
Ford Motor Company,960,2019-2020,usa,19,International,4,detroit,4,nfl,12,nhl,10,17315437,0.91,6488,auto,Car Manufacturers,22,36,23,6,International,11,yes
VPC Incorporated,1,2019-2020,Baltimore,100,nan,nan,nan,nan,DIV 1 Bowls,100,nan,nan,nan,nan,nan,Telecommunications,Wireless,25,25,0,25,usa,0,yes
Temple University,24,2019-2020,Philadelphia,58,usa,25,Chicago,4,mlb,20,Outdoor,10,5046,0.38,31,Education,Colleges,9,58,3,18,Philadelphia,12,no
Comcast,938,2019-2020,usa,25,International,5,Chicago,5,nba,9,mlb,8,15847883,0.92,3316,Telecommunications,Integrated,19,40,16,6,usa,11,yes
Chipotle,332,2019-2020,usa,27,International,9,New York,5,nhl,11,NFL athletes,5,2933948,1.13,726,Quick Serve,Mexican,11,48,32,5,International,4,no
CarMax,76,2019-2020,usa,42,International,9,Seattle-Tacoma,8,NBA,30,wnba,17,1883309,0.28,1079,auto,marketplace,24,40,19,11,usa,7,no
Allstate,454,2018-2019,usa,24,International,4,Los Angeles,4,Power 5 Schools,25,DIV I Bowls,18,3544975,1.21,1957,Insurance,Property,30,35,18,7,International,10,no
VPC Incorporated,1,2018-2019,Baltimore,100,nan,nan,nan,nan,DIV 1 Bowls,100,nan,nan,nan,nan,nan,Telecommunications,Wireless,25,25,0,25,usa,0,no
Papa johns,313,2018-2019,usa,22,atlanta,3,houston,3,nba,13,Power 5 Schools,8,2713969,0.24,1157,Quick Serve,Pizza,21,31,21,12,International,8,no
Coca-Cola,2789,2018-2019,usa,12,International,5,New York,3,Power 5 Schools,9,mlb,5,60115862,0.81,9326,Beverage,Soft Drink,25,24,2,11,International,1,no
Chick-fil-a,512,2018-2019,usa,7,atlanta,5,houston,4,Power 5 Schools,14,nba,13,620552,0.61,932,Quick Serve,Chicken,26,36,5,16,usa,9,no
Johnson & johnson,70,2018-2019,usa,34,International,11,New York,10,Health,11,Military,6,104247,1.43,46,Healthcare,Pharma,20,45,18,17,International,0,no
U.S. Army,298,2018-2019,usa,23,los angeles,4,New York,4,Music Festivals,7,DIV I Bowls,7,876743,0.67,650,Government,Armed Forces,25,58,6,9,usa,2,no
Lyft,81,2018-2019,usa,22,International,9,Chicago,6,Music Festivals,7,wnba,4,673038,0.55,121,Transportation,Services,22,58,0.94,11,International,0,no
U.S. Air Force,170,2018-2019,usa,35,International,6,Seattle-Tacoma,2,NFL,4,Other,4,282292,0.59,383,Government,Armed Forces,23,60,5,10,usa,1,no
Driven Brands,116,2017-2018,Charlotte,9,Toronto,8,Philadelphia,6,nba,17,cfl,11,873827,0.17,370,Auto,aftermarket,26,23,23,4,usa,23,no
Under Armour,676,2017-2018,usa,13,New York,3,Baltimore,3,Other DIV 1 Schools,28,Power 5 Schools,9,29211896,1.11,2831,Apparel,Athletic,18,33,0.45,12,International,0.18,no
City of Annapolis,2,2021-2022,Baltimore,100,nan,nan,nan,nan,DIV 1 Bowls,57,Film Festivals,43,34,1.13,1,Government,Tourism,33,33,0,33,Baltimore,0,no
Dyehard Fan supply,6,2021-2022,cincinnati,17,usa,17,louisville,17,U.S. Throroughbred Racing,42,DIV I Bowls,25,nan,nan,nan,Retail,Athletic,13,25,0,0,usa,0,no
GE Aerospace,5,2021-2022,Seattle-Tacoma,40,Tampa-St. Petersburg,20,Cincinnati,20,pride events,31,pga,31,nan,nan,nan,Manufacturing,Transportation Manufacturing,38,25,25,13,Cincinnati,0,no
Red Hat,4,2021-2022,Austin,25,Boston,25,Toronto,25,Trade shows,40,nhl,20,nan,nan,nan,Technology,IT,20,40,0,40,International,0,yes
Maryland Department of Commerce,2,2020-2021,Baltimore,100,nan,nan,nan,nan,DIV 1 Bowls,63,Film Festivals,38,nan,nan,nan,Government,Commerce,33,33,0,33,Maryland,0,no
Progressive Insurance,456,2019-2020,usa,37,los angeles,5,New York,4,mlb,10,nba,6,423632,0.54,584,Insurance,Property,16,20,32,2,International,30,no
University of North Carolina at Chapel Hill,3,2019-2020,Charlotte,67,Raleigh-Durham,33,nan,nan,mls,63,nhl,25,nan,nan,nan,Education,Colleges,50,17,0,17,usa,0,no
Apple,682,2019-2020,usa,33,International,9,New York,5,mls,10,mlb,1,53157317,1.17,1767,Consumer Electronics,Consumer Electronics,14,53,18,5,International,3,no
Samsung,720,2019-2020,USA,16,International,15,united kingdom,3,Olympic,24,esports,8,37858859,0.98,1871,Consumer Electronics,Consumer Electronics,30,49,5,8,International,2,no
Gatorade,1054,2019-2020,usa,16,International,4,New York,3,Power 5 Schools,9,NFL,8,30326064,0.66,3796,Beverage,Sports Drink,29,24,4,19,International,0.14,no
KIA,503,2019-2020,usa,17,los angeles,6,International,6,nba,27,NFL,8,17968050,0.42,3217,auto,Car Manufacturers,18,32,29,9,International,12,no
Heinz,366,2019-2020,usa,10,New York,5,Chicago,4,mlb,9,NFL,8,313341,3.48,70,Food Products,Condiments,8,13,5,4,International,0.2,no
Bacardi (Rum),330,2019-2020,usa,8,Miami-Fort Lauderdale,6,New York,5,Music Festivals,29,nhl,7,1034655,0.87,600,Beverage,Spirits,20,29,0.21,5,International,0,no
Verizon,763,2019-2020,usa,31,International,8,New York,5,nfl,26,nhl,10,18605482,0.59,2805,Telecommunications,Integrated,14,33,21,8,International,16,no
AT&T,910,2019-2020,usa,32,International,9,Los Angeles,4,nba,9,DIV I Bowls,8,21832813,0.5,5747,Telecommunications,Integrated,18,48,15,11,International,6,no
Target,472,2019-2020,usa,48,International,10,New York,4,mls,4,mlb,4,20833302,1.09,1642,Retail,Mass Merchant,13,66,6,3,usa,9,no
Taco Bell,413,2019-2020,usa,27,International,8,Los Angeles,6,DIV 1 Bowls,11,nba,8,3934842,1.13,521,Quick Serve,Mexican,15,37,27,7,International,13,no
Nissan,729,2019-2020,usa,16,International,4,New York,4,nhl,8,nfl,7,22066112,0.86,2197,auto,Car Manufacturers,17,32,28,6,International,16,no
Hefty,28,2019-2020,usa,18,chicago,11,Kansas city,7,mlb,34,tv,16,19211,0.29,51,Consumer products,Household supplies,10,26,29,26,usa,10,no
Werner enterprises,5,2018-2019,omaha,40,Tampa-St. Petersburg,20,Washington DC ,20,milb,58,group of 5,17,355,0.02,48,Transportation,road & rail,38,38,0,13,usa,0,yes
T-mobile,652,2018-2019,usa,26,International,7,New York,4,mlb,12,Power 5 Schools,6,10249645,0.65,1942,Telecommunications,Integrated,27,42,15,10,usa,4,no
Sweet baby ray's,18,2018-2019,Philadelphia,17,San francisco-San Jose,17,tampa-St. petersburg,11,mlb,40,foob & beverage festivals,13,71,0.27,2,Food Products,Condiments,20,12,0,4,usa,8,no
American Airlines,160,2018-2019,usa,13,dallas-fort worth,9,Miami-fort lauderdale,5,nfl,19,nba,8,2361624,0.6,992,Transportation,airline,16,66,2,11,International,3,no
reece's,222,2018-2019,usa,25,International,5,Los Angeles,5,Power 5 Schools,13,nhl,6,202331,0.57,66,Food Products,candy,7,21,23,3,International,2,no
Coca-cola Bottling company united,15,2018-2019,atlanta,27,jacksonville,7,Panama city,7,marathons,13,pga,13,437,0.25,5,Food & Bev,other,46,42,0,12,South atlantic us,0,no
espn,292,2018-2019,usa,21,International,7,New York,3,Other DIV 1 Schools,16,pro lacrosse,3,1481962,6.08,167,media,TV,26,37,2,6,international,1,no
